Temperatura,Potencia Bombilla,Potencia Ventilador,Fecha
22.53,0,0,2025-09-04 17:02:08
22.53,0,0,2025-09-04 17:02:09
22.77,0,0,2025-09-04 17:02:10
22.37,0,0,2025-09-04 17:02:11
22.85,0,0,2025-09-04 17:02:12
24.07,100,0,2025-09-04 17:02:13
23.42,100,0,2025-09-04 17:02:14
23.74,100,0,2025-09-04 17:02:15
23.26,100,0,2025-09-04 17:02:16
23.42,100,0,2025-09-04 17:02:17
23.42,100,0,2025-09-04 17:02:18
23.42,100,0,2025-09-04 17:02:19
23.5,100,0,2025-09-04 17:02:20
23.74,100,0,2025-09-04 17:02:21
23.66,100,0,2025-09-04 17:02:22
23.42,100,0,2025-09-04 17:02:23
23.58,100,0,2025-09-04 17:02:24
23.58,100,0,2025-09-04 17:02:25
23.58,100,0,2025-09-04 17:02:26
23.82,100,0,2025-09-04 17:02:27
23.66,100,0,2025-09-04 17:02:28
23.58,100,0,2025-09-04 17:02:29
23.82,100,0,2025-09-04 17:02:30
23.99,100,0,2025-09-04 17:02:31
23.74,100,0,2025-09-04 17:02:32
23.58,100,0,2025-09-04 17:02:33
23.99,100,0,2025-09-04 17:02:34
23.9,100,0,2025-09-04 17:02:35
24.07,100,0,2025-09-04 17:02:36
23.99,100,0,2025-09-04 17:02:37
23.02,100,0,2025-09-04 17:02:38
23.82,100,0,2025-09-04 17:02:39
23.9,100,0,2025-09-04 17:02:40
24.31,100,0,2025-09-04 17:02:41
24.07,100,0,2025-09-04 17:02:42
24.31,100,0,2025-09-04 17:02:43
24.23,100,0,2025-09-04 17:02:44
24.15,100,0,2025-09-04 17:02:45
24.15,100,0,2025-09-04 17:02:46
24.23,100,0,2025-09-04 17:02:47
24.39,100,0,2025-09-04 17:02:48
24.31,100,0,2025-09-04 17:02:49
23.99,100,0,2025-09-04 17:02:50
24.15,100,0,2025-09-04 17:02:51
24.23,100,0,2025-09-04 17:02:52
24.23,100,0,2025-09-04 17:02:53
24.39,100,0,2025-09-04 17:02:54
24.39,100,0,2025-09-04 17:02:55
24.23,100,0,2025-09-04 17:02:56
24.23,100,0,2025-09-04 17:02:57
24.31,100,0,2025-09-04 17:02:58
24.23,100,0,2025-09-04 17:02:59
24.55,100,0,2025-09-04 17:03:00
24.55,100,0,2025-09-04 17:03:01
24.55,100,0,2025-09-04 17:03:02
24.47,100,0,2025-09-04 17:03:03
24.55,100,0,2025-09-04 17:03:04
24.47,100,0,2025-09-04 17:03:05
25.04,100,0,2025-09-04 17:03:06
24.72,100,0,2025-09-04 17:03:07
24.55,100,0,2025-09-04 17:03:08
24.8,100,0,2025-09-04 17:03:09
24.96,100,0,2025-09-04 17:03:10
24.31,100,0,2025-09-04 17:03:11
24.88,100,0,2025-09-04 17:03:12
24.96,100,0,2025-09-04 17:03:13
24.88,100,0,2025-09-04 17:03:14
24.96,100,0,2025-09-04 17:03:15
25.2,100,0,2025-09-04 17:03:16
25.29,100,0,2025-09-04 17:03:17
25.2,100,0,2025-09-04 17:03:18
24.8,100,0,2025-09-04 17:03:20
24.96,100,0,2025-09-04 17:03:21
24.96,100,0,2025-09-04 17:03:22
24.88,100,0,2025-09-04 17:03:22
24.96,100,0,2025-09-04 17:03:24
24.88,100,0,2025-09-04 17:03:25
24.72,100,0,2025-09-04 17:03:26
25.2,100,0,2025-09-04 17:03:27
24.96,100,0,2025-09-04 17:03:28
25.04,100,0,2025-09-04 17:03:29
25.37,100,0,2025-09-04 17:03:30
25.2,100,0,2025-09-04 17:03:31
25.29,100,0,2025-09-04 17:03:32
25.2,100,0,2025-09-04 17:03:33
25.29,100,0,2025-09-04 17:03:34
25.37,100,0,2025-09-04 17:03:35
25.04,100,0,2025-09-04 17:03:36
25.04,100,0,2025-09-04 17:03:37
25.12,100,0,2025-09-04 17:03:38
25.2,100,0,2025-09-04 17:03:39
25.12,100,0,2025-09-04 17:03:40
